Model,Type,Term,N_Tokens,Subwords,Has_UNK
MiniLM-L6,general,Actinobacillus,5,act | ##ino | ##ba | ##ci | ##llus,False
MiniLM-L6,general,Adenine,2,aden | ##ine,False
MiniLM-L6,general,Anisomelia,4,an | ##iso | ##mel | ##ia,False
MiniLM-L6,general,Anterograde,3,ant | ##ero | ##grade,False
MiniLM-L6,general,Antifungal,4,anti | ##fu | ##nga | ##l,False
MiniLM-L6,general,Armorhead,2,armor | ##head,False
MiniLM-L6,general,Banner,1,banner,False
MiniLM-L6,general,Boiron,3,bo | ##iro | ##n,False
MiniLM-L6,general,Bulrush,3,bu | ##lr | ##ush,False
MiniLM-L6,general,Calyptospora,5,cal | ##yp | ##tos | ##por | ##a,False
MiniLM-L6,general,Circinella,4,ci | ##rc | ##ine | ##lla,False
MiniLM-L6,general,Clupeotoxin,5,cl | ##up | ##eo | ##to | ##xin,False
MiniLM-L6,general,Colourful,1,colourful,False
MiniLM-L6,general,Corpus,1,corpus,False
MiniLM-L6,general,Cryptotomus,3,crypt | ##oto | ##mus,False
MiniLM-L6,general,Cyclamate,4,cy | ##cl | ##ama | ##te,False
MiniLM-L6,general,Epicauta,3,epic | ##au | ##ta,False
MiniLM-L6,general,Ethylnorgestrienone,7,et | ##hyl | ##nor | ##ges | ##tri | ##eno | ##ne,False
MiniLM-L6,general,Fibromuscular,4,fi | ##bro | ##mus | ##cular,False
MiniLM-L6,general,Framboesiform,4,fra | ##mbo | ##es | ##iform,False
MiniLM-L6,general,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
MiniLM-L6,general,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
MiniLM-L6,general,Healed,1,healed,False
MiniLM-L6,general,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
MiniLM-L6,general,Hyperactivity,3,hyper | ##act | ##ivity,False
MiniLM-L6,general,Immunofluorescence,5,im | ##mun | ##of | ##lu | ##orescence,False
MiniLM-L6,general,Intermediary,3,inter | ##media | ##ry,False
MiniLM-L6,general,Irrelevant,1,irrelevant,False
MiniLM-L6,general,Ketosteroids,4,ke | ##tos | ##ter | ##oids,False
MiniLM-L6,general,Laughter,1,laughter,False
MiniLM-L6,general,Lissemys,4,li | ##sse | ##my | ##s,False
MiniLM-L6,general,Loxosceles,5,lo | ##x | ##os | ##cel | ##es,False
MiniLM-L6,general,Lycopersicon,5,l | ##y | ##cope | ##rs | ##icon,False
MiniLM-L6,general,Malaise,2,mala | ##ise,False
MiniLM-L6,general,Microrepair,4,micro | ##re | ##pa | ##ir,False
MiniLM-L6,general,Migratory,1,migratory,False
MiniLM-L6,general,Millipede,3,mill | ##ipe | ##de,False
MiniLM-L6,general,Mycitracin,4,my | ##cit | ##rac | ##in,False
MiniLM-L6,general,Myers,1,myers,False
MiniLM-L6,general,Notch,1,notch,False
MiniLM-L6,general,Notched,2,notch | ##ed,False
MiniLM-L6,general,Oligohidrosis,4,ol | ##igo | ##hid | ##rosis,False
MiniLM-L6,general,Paraduodenal,4,para | ##du | ##ode | ##nal,False
MiniLM-L6,general,Phosmet,3,ph | ##os | ##met,False
MiniLM-L6,general,Photogenic,2,photo | ##genic,False
MiniLM-L6,general,Pneumopyopericardium,9,p | ##ne | ##um | ##op | ##yo | ##per | ##ica | ##rdi | ##um,False
MiniLM-L6,general,Prague,1,prague,False
MiniLM-L6,general,Repeat,1,repeat,False
MiniLM-L6,general,Robin,1,robin,False
MiniLM-L6,general,Rowley,2,row | ##ley,False
MiniLM-L6,general,Rumination,2,rum | ##ination,False
MiniLM-L6,general,Sciaenops,4,sci | ##ae | ##no | ##ps,False
MiniLM-L6,general,Simultaneous,1,simultaneous,False
MiniLM-L6,general,Solandra,2,sol | ##andra,False
MiniLM-L6,general,Tamarao,2,tamara | ##o,False
MiniLM-L6,general,Theatrical,1,theatrical,False
MiniLM-L6,general,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
MiniLM-L6,general,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
MiniLM-L6,general,Underexerted,3,under | ##ex | ##erted,False
MiniLM-L6,general,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
